modelo,accuracy,accuracy_std,precision_macro,precision_macro_std,recall_macro,recall_macro_std,f1_macro,f1_macro_std
Regresion Logistica,0.7857051948734327,0.008299073895783013,0.795171168013198,0.010549782596299481,0.7662300716137631,0.007885141224841517,0.7720272528718009,0.008369106186464217
Random Forest,0.7772225758220103,0.0027928872146922813,0.7824984305677688,0.0017677622645744437,0.7593380064141799,0.0038306044371501334,0.7643803284008873,0.0036931150051127994
Naive Bayes Multinomial,0.7798843342678753,0.002652470989200372,0.7946290116707387,0.004942832217748978,0.7573969874116878,0.0019978932931952343,0.7633659136967434,0.002214075277217792
SVM lineal (LinearSVC),0.7601012871543441,0.008312820178589902,0.7558911347716121,0.009441719855513887,0.7508305547081889,0.006348595035332996,0.7526342913936861,0.007307371704206485
